Crops,Original_Search_Title,Link,Headline,Date,Publisher,Publisher_URL,Source_URL,Body_Text
cassava,"Government Raises Import Duties On Consumable, Luxury Goods",https://allafrica.com/stories/201612290434.html,"Nigeria: Government Raises Import Duties On Consumable, Luxury Goods",29 December 2016,The Guardian (Lagos),http://www.ngrguardiannews.com/,http://guardian.ng/news/government-raises-import-duties-on-consumable-luxury-goods/,"Abuja — The Federal Government has raised duties on luxury goods such as yachts and Sport Utility Vehicles (SUVs) imported into the country.But also affected are some food items such as rice, salt and sugarcane that have local alternatives.
The plan to raise the duties which was first contemplated by former Coordinating Minister for the Economy and Minister of Finance, Dr. Ngozi Okonjo- Iweala under the immediate past administration of Dr. Goodluck Jonathan had remained on the drawing board due to Jonathan's loss of the presidential election to the incumbent President Muhammadu Buhari and the consequent change of officials between the former administration and the current one.
Under the new Economic Community of West Africa (ECOWAS) Common External Tariff (CET) regime which administers import and export tariffs within the West African sub-region in the movement of goods, importers of yachts and other luxury automobiles such as SUVs, boats, sports cars, and other vessels used for pleasure are now to pay 70 per cent of the value of the vehicles as taxes (duties) to the Nigeria Customs Service (NCS). The new rate is a jump from the 20 per cent which the owners currently enjoy. The increase is contained in a circular by the Minister of Finance, Mrs. Kemi Adeosun to the NCS.
Other major items affected in the duty increase include sugar cane and salt from 10 per cent to 70 per cent; alcoholic spirit, beverages and tobacco from 20 per cent to 60 per cent; and rice from 10 per cent to 60 per cent.
Also included on the list are packaged cement, from 10 per cent to 50 per cent; cotton/ fabrics materials, from 35 per cent to 45 per cent; and used cars popular known as Tokunbo, from 10 per cent to 35 per cent respectively.
Medicaments such as anti-malarials and antibiotics; crude palm oil; wheat flour; tomatoes paste; and cassava products are also affected in the upward review of duties. But essential industrial sector accessories, including bolt, industrial oil and other equipment are to enjoy a downward review to spur local industrialisation.
The cut in the import tariff on items for industrial use may encourage entrepreneurs whose industries are shut down due to the high duties paid on imported components. Such companies may resume or expand their operations as a result of the incentives.
However, while the new policy may trigger a rise in the prices of some consumable goods until the demand for them is met locally, the NCS, which has been grappling with meeting the fiscal target set for it by the Federal Government may boost its revenue.
The policy which is coming on the heels of the recent ban by the NCS on all vehicle imports through the land borders in the country, as part of measures to curb smuggling of particularly used cars into the country is going to see citizens pay higher for used cars popularly known as 'Tokunbo.""
The smuggling of cars into the country may have dealt a very big blow to the customs' revenue generation as the budget minister recently announced that the NCS' projected revenue for the third quarter of this year fell short of expectation by N100 billion, recording N200 billion instead of N300 billion target given to the agency by the Federal Government.
According to the Finance Minister, Buhari has already approved the new tariff regime.The circular reads in part: ""This is to confirm that Mr. President has approved the 2016 fiscal policy measures made up of the Supplementary Protection Measures (SPM) for implementation together with the ECOWAS CET 2015 - 2019 with effect from 17th October, 2016.
""Consequently, all transactions prior to the effective date of this circular shall be subjected to the tariff rates applicable before the coming into effect of this 2016 fiscal policy measures.""
It added that the approved SPM was in line with the provision of the ECOWAS CET comprising the following:""An Import Adjustment Tax (IAT) list with additional taxes on 173 tariff lines of the extant ECOWAS CET; national list consisting of items with reduced import duty rates to promote and encourage development in critical sectors of the economy; an import prohibition list (Trade), applicable only to certain goods originating from non-ECOWAS member states.""
Adeosun declared that the current fiscal policy measures superseded those of 2015, and advised the customs and other stakeholders to ensure strict compliance."
banana;cassava,Pack Pupils' Food in Flasks to Keep It Warm - Janet Museveni,https://allafrica.com/stories/201612080503.html,Uganda: Pack Pupils' Food in Flasks to Keep It Warm - Ms Museveni,8 December 2016,The Monitor (Kampala),http://www.monitor.co.ug/,http://www.monitor.co.ug/News/National/Pack-pupils--food-flasks-keep-warm--Ms-Museveni/688334-3479112-wgp37w/index.html,"Ntungamo — Education minister Janet Museveni has advised parents against packing cold food for school going children.
Ms Museveni advised parents to buy food flasks so that pupils can eat food when it is hot.
""What I don't agree with is packing lunch in banana leaves and children eat it cold as lunch. You can buy small flasks for packing lunch so that these children can have it hot,"" she stressed.
She continued: ""Waking up in the morning, cooking katogo [usually mixture of matooke and beef or beans or cassava and beans] and putting it in a flask, what is hard with that?""
She was speaking at the launch of Phase II of the Literacy Achievement and Retention Activities (LARA) at Muriisa Primary School in Ntungamo District on Tuesday.
However, last week's curricular by the ministry of Education to all chief administration officers, district education officers and Resident District Commissioners across the country, says provision of lunch to all learners in public schools has been made compulsory as a requirement for better learning environment. The guidelines require all head teachers to agree with their respective school management committees on an affordable way of ensuring that all learners are fed while at school.
Ms Museveni added that she knows there are families that can't afford paying fees but at least they have what to eat at home and can pack food for their school-going children.
Responding to the Ntungamo District education officer, Mr Oddo Arigye's comments that most parents can't afford packing lunch for their children, Ms Museveni said: ""A parent, really? Someone who has given birth or is still giving birth and says he cannot pack lunch for children is useless.""
She further criticised parents for abandoning their responsibilities and putting every burden on the government and ever suggesting that the children are for the government and [President] Museveni.
She, however, said they instead like marrying them off young to get cows and goats.
Ms Museveni further cautioned teachers against corporal punishments, saying some maim children.
US Ambassador to Uganda Deborah Malac urged communities to keep the girl-child in school.
She said many were dropping out before completing secondary level."
cassava,15-Year-Old Heads Family of Three,https://allafrica.com/stories/201611230003.html,Uganda: 15-Year-Old Heads Family of Three,23 November 2016,The Monitor (Kampala),http://www.monitor.co.ug/,http://www.monitor.co.ug/News/National/15-year-old-heads-family-of-three/688334-3461206-euxt78z/index.html,"Lira — Brenda Akello (not real name) heads a family of three at Akano parish, Ogur Sub-county in Lira District. The 15-year-old digs for neighbours in exchange for fresh cassava and beans which they use as daily meals.
As the eldest in the family, Akello dropped out of school last year to fend for her siblings. The family now relies largely on the little earnings she makes to survive.
Misfortune strikes
Akello's father was a soldier of the Uganda People's Defence Forces but died after a long illness in 2013. Her mother was abducted by the Lord's Resistance Army (LRA) insurgents in 2004.
She returned home five years later but reportedly decided to abandon the family after she failed to cope with the responsibility of taking care of the children.
""We do not have enough land to cultivate our own food, so the money we get after cultivating people's gardens is what we use to buy food,"" said a 13-year-old Joe, Akello's younger brother.
Like thousands of child-headed families across the country, this family at Akano only has four plastic plates and cups and a pair of bed sheets. But the children are proud to call the half-roofed hut home.
More than 13 million children in Uganda are living under unbearable conditions and on the streets, according to National Population and Housing Census 2014.
Of the 7.2 million households in the country, about 28,800 are child-headed and face severe financial constraints that quite often relegates them to drug and substance abuse, transactional sex and involvement in criminal activities.
The country's population stands at 34.9 million people, according to National Population and Housing Census 2014, with an average annual growth rate of 3.03 per cent.
Forty-nine per cent of Uganda's population is under the age of 15 with 18.5 per cent being under five. Children between the ages of zero to eight years number approximately 10.7 million.
National plight
Suffering. More than 13 million children are living under unbearable conditions and on streets, according to the 2014 census report. Of the 7.2 million households in the country, about 28,800 are child-headed and face severe financial constraints."
cassava,"Outrage  Over Brutal Killing of Boy, 7",https://allafrica.com/stories/201611190069.html,"Nigeria: Lynching of 7-Yr-Old Boy - Residents Fume, Want Perpetrators Brought to Book",19 November 2016,Vanguard (Lagos),http://www.vanguardngr.com/,http://www.vanguardngr.com/2016/11/lynching-7-yr-old-boy-residents-fume-want-perpetrators-brought-book/,"Residents have expressed shock and disapproval over an incident where a young boy of about seven year-old was burnt to death in Lagos, Wednesday, for allegedly stealing cassava flakes, otherwise known as ""Garri,"" describing it as ""barbaric.""
The alleged boy was reportedly lynched for stealing by yet to be apprehended perpetrators.
Residents who reacted to the incident have called on Nigeria Police authorities to go after the perpetrators and bring them to justice to serve as deterrent to others.
One Ms Sharon Samuel reacted thus: ""If the killers of this boy are not brought to book then there is no more hope for anyone in this country. Garri seller, may be your garri is meant for ritual purpose else why should you raise an alarm that caused the death of this boy. Don't blame Buhari but blame our wicked world. The end is more than near,"" Sharon said.
Another who identified simply as Queen Chi Chi, said, ""What about those bank armed robbers, what about Nigerian politicians that are busy stealing and syphoning Nigeria's money into their private accounts, are they not thieves? Why beating the boy to death because of ordinary garri, dastardly things to do.""
Ebere Chidima, another resident, said, ""Those that burnt that little boy for merely stealing garri and even those that stood by and watched the sin being committed are guilty of the same offence. Jesus Christ said; he who is without sin let him cast the first stone. ""The Police authorities should go after these perpetrators of this dastardly act.""
No, it did not happen, Govt reacts
However, Lagos State Government, while reacting to the incident purportedly carried out in the state, through the state's Commissioner for Information and Strategy, Mr. Steve Ayorinde, urged residents, especially users of social media as a source of news and social interaction to be mindful of the source of their information to avoid spreading false and unsubstantiated materials.
Ayorinde denied the alleged brutalization and killing of a 7-year-old pilferer that reportedly happened at a certain location in Lagos being circulated on social media.
According to the commissioner, the Lagos State Police command has duly issued a statement questioning the authenticity of the story while asking for eye witnesses or anyone with verifiable information to come forward with information as the Police continue with their investigation.
""While we condemn in its entirety every form of crime and jungle justice, it is important to plead caution whenever a human life is involved. So far, there is no indication that the dastardly act being peddled on social media happened anywhere in Lagos State or that it is a recent case.
""The Police have promised to carry out further checks and will welcome every useful information, but available information at the moment does not suggest that such killing happened last Saturday at either Orile-Iganmu or Badagry. There is no any corpse that fits the description in any area being touted; just as the location of anyone with useful information to corroborate the sad tale being peddled cannot be established,"" he said."
cassava,Outrage Trails Killing of '7-Year-Old' in Lagos,https://allafrica.com/stories/201611180232.html,Nigeria: Outrage Trails Killing of '7-Year-Old' in Lagos,18 November 2016,Leadership (Abuja),http://www.leadership.ng/,http://leadership.ng/news/559944/outrage-trails-killing-of-7-year-old-in-lagos,"Nigerians are demanding justice for the seven-year-old boy who was lynched for stealing garri.
A video which went virile on social media showed group of people beating, stoning and finally setting a boy between the ages 7-16 ablaze.
""So the best option was to burn this boy because he stole garri. I need a better look at all those murderers watching him die. This is just sad,"" @Franklytwits tweeted.
Miss Daniella @Dani__Keri in a separate tweet @Dani_keri said, ""I am shocked that people are justifying this act, at age 7,17 or 71 we should all #SayNoToJungleJustice . Nobody is old enough to be lynched!""
Another social media user wrote, ""He was allegedly just seven years of age. He was hungry. It was garri (cassava flakes) he stole. He stole to eat it, not save it in the bank. Yes! They caught him. Beat him up blue and black. He laid there wiping and wailing. He was now bearing not just the hunger pains in his stomach but also the endless beating. ""He cried out. He searched through the crowd for a saviour. A heaven sent. One who has felt his type of hunger. One who can say 'he was just 7 years old and hungry'.
""But no! There was no saviour. Just righteous judges. People who have never stolen in their life. People who have never been hungry. And while he was still searching for help. Hoping for one last miracle from heaven.
""The beatings died down. He sighed, it has ended. He thought he was going to be set free."""
cassava,Nigerians Condemns Killing of Boy in Lagos,https://allafrica.com/stories/201611180071.html,Nigeria: Jungle Justice - Nigerians Condemns Killing of Boy in Lagos,17 November 2016,Leadership (Abuja),http://www.leadership.ng/,http://leadership.ng/news/559921/jungle-justice-nigerians-condemns-killing-of-boy-in-lagos,"Following the mob killing of a boy, who allegedly stole in Lagos, Nigerians are demanding justice for a seven-year-old boy who was lynched for stealing garri.
A video which went viral on social media showed some group of people beating, stoning and finally setting a boy between the age 7-16 ablaze.
""So the best option was to burn this boy because he stole garri. I need a better look at all those murderers watching him die. This is just sad,"" @Franklytwits tweeted.
Miss Daniella @Dani__Keri
In a separate tweet @Dani_keri said, ""I am shocked that people are justifying this act, at age 7,17 or 71 we should all #SayNoToJungleJustice . Nobody is old enough to be lynched!""
He was allegedly just 7 years of age. He was hungry It was garri (cassava flakes) he stole. He stole to eat it, not save it in the bank. Yes! They caught him. Beat him up blue and black. He laid there wiping and wailing. He was now bearing not just the hunger pains in his stomach but also the endless beating. He cried out. He searched through the crowd for a saviour. A heaven sent. One who has felt his type of hunger. One who can say 'he was just 7 years old and hungry'.
But no!
There was no saviour. Just righteous judges. People who have never stolen in their life. People who have never been hungry. And while he was still searching for help. Hoping for one last miracle from heaven.
The beatings died down. He sighed, it has ended. He thought he was going to be set free. But while still lost in his thoughts, the tyre came heavily round his neck and fuel was poured on him. Fuel that was more than the garri he stole. He looked to heaven one last time and murmured a little prayer I think before he finally burst up in flames.
And the Nigerian saints without sins or who have never known hunger celebrated.
They have rid the society of one bad egg. And yet politicians steal billions of naira and still walk around freely and been celebrated. He was just 7 years old. He was just hungry. He stole garri to fill his empty stomach. And the Nigerian saints killed him.
Another life wasted. Another restless spirit roaming. Another young blood crying out to God day and night. Another unjustifiable and senseless killing. Driven by hunger and taste. He stole to fill his hungry stomach. Not to buy cars or build mansions, not to send his siblings abroad or to walk about with police and army escorts. He stole because times are hard.
Police have refuted the news of the lynching of a seven-year-old boy for stealing garri in the Badagry area of Lagos state. Reports and videos making the rounds on the social media indicate that the boy was set ablaze after being beaten up. The reports caused outrage on the social media with many Nigerians calling for an investigation into the incident and an end to jungle justice.
However, the Lagos state Commissioner of Police, Mr. Fatai Owoseni has confirmed, according to a reliable source that the said lynching of the seven-year-old boy over garri theft is untrue.
Police complaint unit, headed by Mr Abayomi Shogunle, in its twitter handle @YomiShogunle, said there was no truth in the purported lynching."
cassava,Police Vow to Arrest Killers of Seven-Year-Old Boy,https://allafrica.com/stories/201611170335.html,Nigeria: Police Vow to Arrest Killers of Seven-Year-Old Boy,17 November 2016,Premium Times (Abuja),http://premiumtimesng.com/,http://www.premiumtimesng.com/news/top-news/215586-police-vow-arrest-killers-seven-year-old-boy.html,"The police in Lagos have commenced investigations into the killing of a seven-year-old boy who was reportedly set ablaze in Badagry for allegedly stealing cassava flour, popularly known as garri.
The Lagos police spokesperson, Dolapo Badmus, disclosed this to PREMIUM TIMES through an SMS.
""The Commissioner of Police Lagos state has directed the Divisional Police Officers (DPO) in charge of that jurisdiction to investigate and brief the command if the crime in question actually happened.
""Nigerians can be rest assured that the perpetrators will be arrested and prosecuted,"" she said.
Ms. Badmus said the police will not tolerate jungle justice in any part of the state.
News broke, Wednesday, on social media of how the boy was caught trying to steal garri from a shop in Badagry, a town on the outskirts of Lagos.
He was reportedly beaten, stoned, tied up and later set ablaze by the angry mob.
The death of the young boy has received nationwide condemnation since news of the incident broke."
cassava,Bakers Seek Review of Cassava Bread Policy,https://allafrica.com/stories/201611100825.html,Nigeria: Bakers Seek Review of Cassava Bread Policy,10 November 2016,Daily Trust (Abuja),https://dailytrust.com/,http://www.dailytrust.com.ng/news/171066.html,"The National Association of Master Bakers and Caterers of Nigeria has called on the federal government to review the cassava bread policy of the past administration to cut down on prices of bread. The association also decried the high cost of flour which has led to increase in prices of bakery products in the country.
Speaking at the tri-annual delegates' conference of the association in Abuja, Chairman of the board of trustees, Alhaji Jabi Hassan said the assistance by the Jonathan administration through cassava bread programme was not adequately utilized, while calling on the present government to rectify challenges affecting the policy.
Also speaking at the event, the south east coordinator, Mr Akam Sunday said the association had been unable to build a befitting national secretariat since its formation in 1956 despite its presence in every section of the country.
New officers were elected to pilot the affairs of the association for the next five years. They are Mallam Abubakar Shuaibu Zubairu, Chairman, Prince Jacob Adejorin, Vice Chairman, Mr. Akam Sunday, National Secretary and Mr Anthony Chukwueze, National Treasurer."
cassava,"October Registers No Change in Inflation, Stands At 4.5%",https://allafrica.com/stories/201611090302.html,"Tanzania: October Registers No Change in Inflation, Stands At 4.5%",9 November 2016,The Citizen (Dar es Salaam),http://www.thecitizen.co.tz/,http://www.thecitizen.co.tz/News/Business/October-registers-no-change-in-inflation--stands-at-4-5pc/1840414-3446420-t855x4/index.html,"Dar es Salaam — The rate of price increases stagnated at 4.5 per cent in October, thanks to a slight decrease in prices of food products, the National Bureau of Statistics (NBS) announced yesterday in Dar es Salaam.
This is the same rate that was recorded in September 2016.
""This means that the speed of price increase for commodities in the year ending October, 2016 has remained the same as that of the preceding month,"" the NBS manager for Price and Statistics, Ms Ruth Minja said.
The inflation rate for food and non-alcoholic beverages remained at 6.0 per cent for both months whereas that of the food consumed at home and away from home has slightly decreased to 6.0 in October, 2016 from 6.1 per cent in a month before.
This means that the headline inflation rate is on the decline, considering that it was quoted at 6.3 per cent in October, 2015.
However, the monthly headline inflation rate for the month of October, 2016 has increased by 0.1 per cent compared to a decrease by 0.2 per cent recorded in September, 2016.
As a result, the overall index rose to 103.17 in October, 2016 from 103.05 recorded in September, 2016, attributable to price increase of both food and non-food items.
Some food items that contributed to the increase include fresh fish, cassava, maize grains, groundnuts and beans.
Similarly, some non-food items that contributed to price increase include monthly rentals paid by tenants and charcoal.
During the period the inflation rate for Kenya increased to 6.7 per cent and Uganda has decreased to 4.1 per cent."
cassava,Kogi Bans Cassava Flour Sale,https://allafrica.com/stories/201611070063.html,Nigeria: Kogi Bans Cassava Flour Sale,6 November 2016,Daily Trust (Abuja),https://dailytrust.com/,http://www.dailytrust.com.ng/news/170375.html,"Authorities of Adavi Local Government Area in Kogi have banned the sale and consumption of cassava flour brought into the area from neighbouring communities and states between Oct. 26 and Nov. 1.
The Information Officer of the local government, Mr Shaibu Obeito, told the News Agency of Nigeria (NAN) on Sunday that the move was to forestall more deaths associated with the consumption of the flour.
The News Agency of Nigeria (NAN) recalls that eight person, two women and six children died on Oct. 26 in Ogaminana community in the local government are after a meal of the flour.
Obeito said that the council had started buying back all cassava flour brought into the council within the period from sellers and those possessed by residents.
According to him, the aim is to retrieve the poisonous cassava flour and destroy it before it got to the public.
He, however, stated that more deaths had not been reported in the area in connection with the consumption of the flour."
