Crops,Original_Search_Title,Link,Headline,Date,Publisher,Publisher_URL,Source_URL,Body_Text
cassava;sorghum,Stumbling Towards Tragedy in Malawi,https://allafrica.com/stories/200512290392.html,Malawi: Stumbling Towards Tragedy in Malawi,29 December 2005,Business Day (Johannesburg),N/A,N/A,"Johannesburg — HUMANITARIAN agencies are struggling to focus world attention on the acute and worsening food crisis in southern Africa. As food stocks dwindle and the region's hungry season begins in earnest, 12-million people in six countries will need humanitarian aid by early next year, according to the United Nations (UN).
However, the UN's World Food Programme (WFP) and other relief agencies have struggled to raise funds for southern Africa in a year that saw international donors' attention riveted by the Asian tsunami and earthquake, and food crises elsewhere in Africa, including Niger.
Amid signs that southern Africa's food problems are becoming chronic, relief workers are pushing for long-term solutions that address these ills head-on.
In Malawi, the worst-hit country, nearly 5-million of the country's 12-million people will need food aid until next April, according to the WFP. The other countries affected are Mozambique, Zambia, Zimbabwe, Lesotho and Swaziland.
Prodded by donors, Malawi's government is drafting an economic growth strategy aimed at mapping a future for a landlocked country where most people subsist on tiny farms dependent on rainfall. It is also urging farmers and consumers to diversify away from the staple crop of maize and into drought-resistant crops such as sorghum and cassava.
While Malawi's population has nearly doubled since the 1970s, farm productivity has barely changed. Prices for tobacco, the country's main cash crop, have fallen, while fertiliser prices have risen, fuelled by higher oil prices. ""Even if it rains well, people can't produce enough food to feed themselves,"" says Sylvester Kalonge, food security co-ordinator with Care, a nongovernmental organisation in Malawi. ""And when there's drought, it just pushes them over the line.""
Unlike Niger and other arid west African countries, Malawi could easily feed itself with the help of irrigation and improved farming techniques. But government and foreign donors have for decades worked at cross purposes. On foreign donors' advice, in the 1990s Malawi partially dismantled Admarc, an agricultural marketing board that had formerly bought and sold crops at guaranteed prices. The move exposed farmers to new risks, yet the government continues to subsidise some maize and fertiliser.
Observers say the resulting market distortions compounded the effects of the last growing season's failed rains, which led to this year's food crisis. As is the case throughout southern Africa, HIV/AIDS -- which affects 15% of adults -- has fractured families and depressed farm output.
Political instability has also contributed to Malawi's problems. The country has had four agriculture ministers in two years. Apart from budgetary and other money bills, parliament has passed no laws since President Bingu wa Mutharika took office last year. The president faces the threat of impeachment from angry MPs in the United Democratic Front, the party with which he broke after standing as its candidate. Declaring a policy of ""zero tolerance for corruption"", he has presided over the arrest of supposedly corrupt officials.
Donors, led by the UK, took the unprecedented step in October of writing to MPs to warn them that impeachment would imperil future aid to Malawi. The move angered some in the opposition, who claim that Mutharika and his associates are themselves corrupt.
Despite the political turmoil, donors say Malawi is making progress on lowering inflation and the fiscal deficit, and addressing structural issues that impede the private sector. Because of transport costs and other market barriers, donors say Malawi cannot compete against its coastal neighbours in producing manufactured goods. In a discussion paper drafted in support of the government's economic growth strategy, Britain's Department for International Development (DFID) recently suggested agriculture as a future ""engine of growth"".
DFID formerly funded a programme offering Malawian farmers a ""starter pack"" of improved seed and fertiliser. After negligible results on that programme, DFID is now advising the government to focus on increasing productivity in big farms that might provide future employment for inefficient smallholders. Financial Times"
banana;cassava,"Use DDT to Fight Malaria, Say Experts",https://allafrica.com/stories/200512300308.html,"Uganda: Use DDT to Fight Malaria, Say Experts",28 December 2005,The East African (Nairobi),N/A,N/A,"Nairobi — BIO-CHEMISTRY and pathology experts at Makerere University are advising Uganda's Ministry of Health to use dichlorodiphenyltrichloethene (DDT) in its campaign to eradicate malaria.
The recommendation follows a study carried out in Kihihi subcounty of Kanungu district in western Uganda, where the World Health Organisation (WHO) malaria control team sprayed two grammes of DDT per square metre in households and kraals 45 years ago.
Dr Gabriel Bimenya, the head of the Pathology Department at the university, said that traces of DDT were found in urine, soil and foodstuffs such as beans, fish, bananas, cassava, and Irish potatoes.
Dr Bimenya said that after conducting the study, researchers at Makerere were recommending application of DDT through indoor residual spraying to avoid a spill-over to the environment as it may affect exporters of agricultural produce.
He said that DDT is used by many European and American airlines to prevent malaria infections among travellers, which underlined the fact that the chemical was not a health hazard to humans.
""In June last year, a number of European ministers were found to have DDT in their blood and the concentration was three times higher than that found in Ugandans in the just concluded research,"" Dr Bimenya said, adding that it has not been reported anywhere that Europeans or Americans are medically affected or disadvantaged by the presence of DDT in their bodies.
Edward Ssenyange, a trade promoter with the Uganda Export Promotions Board, said, ""The use of DDT jeopardises the country's market for agricultural produce particularly in Europe where the use of DDT was banned and blacklisted as a persistent organic pollutant."" Ssenyange called for further consultation. ""The use of DDT is not just a health issue as it affects the economy. This is why we must all be involved in such sensitive decisions,"" he said.
Beside the 383 who were sampled, the researchers also interviewed 25 people who were involved and resided in the study area 45 years ago (1959/1960) when the WHO team applied the chemical. The researchers said that there was no empirical evidence that attributes a medical complication on DDT.
A concurrent study for comparative purposes was carried out in Nyarusiza, a village 100km from the major study area where DDT was applied and consistent results were realised from similar samples.
The Uganda Ministry of Health which has for long wanted to reintroduce the use of DDT in its malaria control programme, has to wait for the National Environmental Management Authority (Nema) to study the environmental impact assessment report on DDT use before it makes a decision. Malaria is said to kill 120,000 children in Uganda every year.
The programme manager for the national malaria control programme, Dr John Rwakimari, told The EastAfrican that the environmental impact assessment report will be released soon and submitted to Nema for approval before they start using the chemical.
Dr Gerald Sawula, the deputy executive director of Nema, said the authority will advise on the issue after consulting and analysing the DDT environment impact assessment report.
Dr Rwakimara said that DDT is the most effective alternative in malaria eradication. He added that pathogens could be an alternative but they are three times more expensive than DDT."
cassava;yam,Benue Orders Judges to Move Into Quarters,https://allafrica.com/stories/200512290240.html,Nigeria: Benue Orders Judges to Move Into Quarters,28 December 2005,This Day (Lagos),N/A,N/A,"Makurdi — High Court Judges in Benue State have been given a 72 -hour ultimatum to pack into the newly constructed Judges Quarters.
Government has also entered into contractual agreement with a U.S. firm, for the construction of a $20 million Yam and Cassava processing plant, which is to be completed before May 2007.
Both decisions were announced by the Information Commissioner, Honourable Cletus Akwaya, in a press briefing yesterday after a state executive meeting.
Akwaya said the pop musician 2-face Idibia, would be honoured by the state government today, for his outstanding contributions to the music industry both in the country and abroad.
Akwaya said the ultimatum issued to the High Court Judges followed completion of work on the building and furnishing of the quarters located along Makurdi-Gboko road.
The quarters, which he described as one of the projects initiated at the inception of the George Akume administration in 1999, has been provided with all necessary conveniences, including access roads, fencing, water, electricity among others.
For this reason, he said the state government has resolved that ""all High Court judges in Makurdi, allocated papers for the quarters should move into the quarters on or before the end of this month.""
He said government has also entered into agreement with Messes J.P. Technologies Incorporated of the U.S.A, for the construction of a $20 million cassava processing plant.
He said by the agreement, ""the state government is going to contribute about $500,000, and a piece of land that would be used for the factory.""
With the establishment of the factory, the state would have three factories related with the processing and utilisation of cassava and its products.
Others are the cassava processing factory and the ethanol producing factory."
cassava;plantain,Children's Plight Worsened By Lingering Conflict,https://allafrica.com/stories/200512290215.html,Cote d'Ivoire: Children's Plight Worsened By Lingering Conflict,28 December 2005,UN Integrated Regional Information Networks,N/A,N/A,"Abidjan — Twelve-year-old Monique Yao lost her father to war, as well as her seat in the classroom.
Her mother hopes to help her reclaim the latter some day soon.
""I asked for help from people, but I could not come up with enough money and she was dismissed,"" Dame Sophie Yao says, seated next to the table where she sells fruit and attieke, a cassava-based favourite dish.
She says she might be able to come up with enough money to put Monique back in school soon, but the young girl would have to split her time between studying and working with her mother in the market to keep the family afloat.
Monique sells fruit at their street stall daily until 10 p.m., when she returns to what was to be a temporary home, where she, her mother and her three-year-old brother have lived since they fled fighting in western Cote d'Ivoire three years ago.
Monique's father was killed as rebels and government forces wrestled for control of the Yaos' hometown of Man.
The young girl represents the increasingly tough plight children face in Cote d'Ivoire - West Africa's one-time oasis of stability, split in two in 2002 and slogging along ever since in a state of 'no war, no peace.'
The conflict forced 700,000 children to abandon their studies, according to the UN Children's Fund (UNICEF).
""Thousands of children are up against poverty, abandonment, lack of education, malnutrition, negligence and vulnerability,"" Youssouf Oomar, UNICEF representative in Cote d'Ivoire said last week on the release of the agency's annual report on the state of the world's children.
Cote d'Ivoire ranks among the 15 countries with the highest under-five mortality rates in the world, the UNICEF report says, and is one of the few countries where child mortality is on the rise.
The rate climbed to 194 deaths per thousand children under five in 2004, from 157 deaths per thousand in 1999 - the year of Cote d'Ivoire's first coup d'etat.
UNICEF puts armed conflict among the greatest threats to childhood worldwide, along with poverty and HIV/AIDS.
Armed conflict exposes children to exploitation as combatants or sex workers, guts basic infrastructure, and devastates primary education, the report says. Most often, UNICEF says, children are among the most vulnerable when conflict precludes essential services like health and protection.
For Cote d'Ivoire's children, Oomar said, ""Day in and day out life is a fight for survival.""
Survival for 14-year-old Ousmane Kone and his family rests partly in the hands of motorists he urges to buy packets of Kleenex at a bustling roundabout in Abidjan's Abobo neighbourhood.
Beads of sweat on his forehead, in his tattered knee-length T-shirt Kone runs non-stop from car to car amid the roundabout's nearly permanent traffic jam.
""If I don't sell a package of 15 by the evening, there won't be enough money for the family's needs, and it will be my fault,"" he said.
If he is lucky enough to find buyers for all 15 packets, Ousmane brings 500 CFA francs, or a little less than one US dollar, home to his family.
Ever since Kone's father - a craftsman - lost all his tools in arson fires during unrest in Abidjan, Ousmane and his 12-year-old sister, Kady, must work to help make ends meet.
Kady washes dishes for her aunt who sells alloco - fried plantain - another Ivorian favourite.
Sometimes it is the children's income alone that allows the family to buy the day's meal, Ousmane says.
Ousmane did not attend primary school - only a few years of Koranic school. He hopes to train as a mechanic one day.
Some students in the rebel-held north who have gone to school are wondering whether they're any better off for it.
National exams have not been held in the north in over two years, leaving some 60,000 students in limbo. Without their end-of-year diplomas, their studies will have been in vain.
The UN has repeatedly called on the Ivorian government to get the education system back on track.
In a statement earlier this year UNICEF said the blockage ""not only threatens [children's] educational development, but also their physical safety: thousands of children who should be studying and writing for exams are out on the streets with no certainty of their future.""
The situation also breeds resentment and potential violence among youth - an explosive element in a country whose condition is already fragile, UNICEF warned.
[ This report does not necessarily reflect the views of the United Nations ]"
cassava,Cassava - an Alternative Crop,https://allafrica.com/stories/200512220228.html,Zambia: Cassava - an Alternative Crop,22 December 2005,The Post (Lusaka),N/A,N/A,"Lusaka — Famine is being experienced in many parts of Zambia. In my home village Msoro, all mangoes were harvested while still green and used for food. My father's mango trees attracted scores of people who cleared them early in the season.
People are still wondering how they will survive until the pumpkins save them. Thanks to food aid efforts that have provided them with peas and other food stuffs, the people in that area are still alive. The country has continued to rely on food aid year after year. Moreover, food aid NGOs grow faster than developmental NGOs in this country.
The newspapers continue to inform the public on the plight of people in various parts of Zambia. The cause of the famine is always quoted as drought that was experienced last season. The lack of irrigation facilities has been recognised as contributing to this famine.
But lack of irrigation is not the only cause of low productivity. Lack of good seed, lack of fertiliser, low soil fertility, poor crop management and poor post-harvest management are some of the causes of low productivity and famine. Presence of irrigation facilities will not automatically remove famine from smallholders. Many times the FAO representative has questioned Zambians why they do not take up cassava as a food crop as West Africans have done. After experiencing this year's famine, it is an opportune time for Zambians in many provinces other than the Northern Province which depends on cassava, to start looking at cassava as something that can be a staple food rather than a snack only. Slowly, many Zambians will come to appreciate cassava.
With cassava in the ground, the famine caused by drought or lack of inputs would be less severe for many small holders. The market, through the Food Reserve Agency, is available and that should be an incentive to production of cassava for commercial purposes. However, having food all year round should be enough incentive for smallholders.
Cassava is a perennial shrub with an edible root. It grows in many areas of Zambia. Cassava can grow on marginal lands where maize and other crops do not grow well. It can tolerate drought and can grow in low-nutrient soils. Because cassava roots can be stored in the ground for up to 24 months, and some varieties for up to 36 months, harvest can be delayed until market, processing, famine or other conditions are favourable.
Cassava provides human food as a source of dietary energy, is used for production of animal feed and other starch-based products. Roots can be processed into granules, pastes, flours, etc., or consumed freshly boiled or raw while leaves are consumed as a green vegetable, which provides protein and vitamins A and B. Cassava starch is used as a binding agent, in the production of paper and textiles, and as monosodium glutamate, an important flavouring agent in Asian cooking. Nigeria is the largest producer of cassava in the world. The average yield of cassava in Nigeria is about 10.6 tonnes per hectare. Impact studies have revealed that in Nigeria the introduction of improved cassava varieties has provided food for 50 million people. Zambia has only 10 million people.
Cassava can be grown singly or intercropped with crops. Although fertiliser can be applied to increase productivity, cassava is grown without fertiliser application. Roots can be harvested between six months and three years after planting.
The major pests of cassava are the cassava green mite, the cassava mealybug, and the variegated grasshopper. The main diseases affecting cassava are cassava mosaic disease, cassava bacterial blight, cassava anthracnose disease, and root rot. These together with poor cultural practices cause high yield losses that may be as high as 50 per cent.
Improved cassava varieties that are disease and pest resistant, low in cyanide content, drought resistant, early maturing, and high yielding, good cooking quality have been developed and research is continuing. Varieties with resistance to the major diseases give higher yields of about 50 per cent more than the local varieties. Through the introduction of natural enemies, there has been a reduction in cassava mealybug damage and damage caused by the cassava green mite.
Many cassava varieties contain cyanides which are poisonous. Inadequate processing can lead to chronic toxicity. Various processing methods are used such as grating, sun drying, and fermenting. These reduce the cyanide content. Cyanide is also removed from leaves used for vegetables through crushing and cooking for long periods.
The production of cassava is dependent on a supply of good quality stem cuttings. The multiplication rate of these vegetative planting materials is unfortunately very low compared to grain crops, which are propagated by seeds. About 10 planting stakes can be gotten from a parent plant. In addition, cassava stem cuttings are bulky, and highly perishable as they dry up within a few days. But the field can be expanded using cuttings from each harvest.
Research has developed techniques to make two-node cuttings or ministakes that can make 50 plants from each parent cassava. These ministakes are moved and protected in plastic sacks until they can be grown on nursery beds before being planted in the field. Farmers can try experimenting with different methods. After all farmers are best scientists.
As a root crop, cassava requires considerable labour to harvest. Because they are highly perishable, roots must be processed into a storable form soon after harvest. Scientists have been developing simple machines and tools to reduce processing time and labour, as well as production losses.
This is a good time to plant cassava cuttings for they will soon sprout with the rains. Depending on the variety, they will be harvested at a time they are required."
cassava,Looking Forward to a New Day,https://allafrica.com/stories/200512210691.html,Uganda: Looking Forward to a New Day,22 December 2005,The Monitor (Kampala),N/A,N/A,"Belinda Akuge, aged 20, is breastfeeding her 9-month-old baby. She is
wearing a bright-coloured dress and is spotting a weave on her head and can
be mistaken for a business lady.
Akuge is one of the many Congolese women who followed their partners
when they were returning from the Democratic Republic of Congo.
A statement was issued on September 21st, 2005 by the RCD-LM secretary
general, Jean Louis Ernest Kyaviro that the Congolese Rally for Democracy
Liberation Movement wanted the Uganda government to repatriate the Congolese
women who are in Uganda back to Congo.
According to the statement, they had learnt that these women were living
under difficult situations. When the news was broken to the Congolese women,
some showed anger and pain because of the suffering they are enduring in
Uganda as a result of following the men they loved while others showed
relief and joy because their countrymen are concerned about them and want
them back, meaning that they still have hope for a better future in their
own country regardless of what they have undergone in Uganda.
Tough times
Akuge who is eight months pregnant for instance comes from Kisangani and
has three other children but they were stolen by their father and taken to
Mbarara although she does not know the exact village where the children are
staying.
She was abandoned by the father of the three children and the man who
impregnated her has denied responsibility of the pregnancy.
""I am pregnant but everyday, I have to go to the disco or drinking place
to get a man who will give me money to feed myself and pay rent,"" she says
with a sad face.
Akuge says because she cannot earn a living, she has now resorted to
prostitution in order to survive. She says she wants to go back to her
homeland and parents where she can get food and someone to look after her
children.
Another lady, Solangi has three children all with different fathers who
abandoned them. She also earns her daily bread through prostituting herself
so that she can put a meal on the table for her children at the end of the
day. ""I am sleeping with men whose health status I do not know as a result
of poverty,"" she says. Solangi hopes the Ugandan government can provide
transport for them since they neither have money nor any other means to go
back home.
After more than five years of suffering, sometimes going without food,
becoming prostitutes, watching their friends die and not being given decent
burials, the Congolese women are ready to return home, begin new lives and
forget what they have gone through while in Uganda.
""Here, we are being stigmatised everywhere we go. People say, ""Congolese
have Aids',"" says Anachi, one of the Congolese interviewed.
""We have become the laughing stock of people in Gulu, they call us
thieves, some say we have stolen their men and they even laugh at us because
we eat cassava leaves as food,"" says Tete, who has a 16-month-old baby.
Tete says they have suffered enough and that if they were near Congo,
they would have gone back home by now. She says they are still stuck in
Uganda because they do not have money.
""We have been humiliated by the very men we followed,"" she says. If the
Ugandan government or even the government back home can give them transport,
then they are ready to go back. But one thing they will not do is to leave
their children with their so called fathers.
""We shall go back with our children, these soldiers did not pay our
dowry so we shall take our children,"" Solangi continued. ""We came with them
but we do not even know their parents or where they come from, so why should
we leave our children with people we do not know?"" Anachi questions.
According to Opio Bosco, the secretary for youth, Kasubi central, the
government should find a way of repatriating these Congolese back to the DRC
because they are really suffering.
Most of them have been abandoned by the soldiers so they resort to
prostitution as a means of survival. Opio says the women now sell themselves
to the civilians and to whoever will give them money.
Evelyn Aya, the secretary for finance LC1, Kasubi central, says that the
women have gone to the extent of providing their services to young boys who
have money. ""For any amount of money, they will sleep with any man and they
normally ask 'how much do you have?'"" Aya says.
Government's stand
When contacted after the release of the statement, the Army spokesman,
Lt.Col. Shaban Bantariza is reported to have said that the women's return
was not Uganda's responsibility.
""Why did they follow us? Were they abducted? Those women were adult
Africans who came to Uganda. They should get in contact with them."" He said
that for the Ugandan government to return the Congolese could amount to an
extradition.
Bantariza however denied allegations that the women were living in poor
conditions and is also reported to have said that they are business women on
kyeyo."
cassava,Government Bans Jatropha Tree Exports,https://allafrica.com/stories/200512200317.html,Zimbabwe: Government Bans Jatropha Tree Exports,20 December 2005,The Herald (Harare),N/A,N/A,"Harare — THE Ministry of Agriculture has specified the jatropha, banned its export and adopted the tree along with cassava as major development crops for the next five years, a Cabinet minister said yesterday.
In an interview, the Minister of Agriculture, Dr Joseph Made, said his ministry would also work to increase production of sugarcane, castor bean and soyabean, among others, as it seeks to develop crops which can be used to develop bio-fuel.
""This means that the crops, which we are calling new crops, will be developed with great vigour and a lot of energy will be put in the planting, marketing and funding of the crops.
""Special emphasis will, however, be placed on jatropha because of the quantity of bio-fuel it can produce,"" said Dr Made.
""We want to grow jatropha as a plantation crop and it has already become a controlled crop. We are working on the necessary paperwork and with immediate effect we will not allow the selling or export of the seeds to any country although local farmers can sell the crop or seed among themselves.
""In addition, the National Oil Comp-any of Zimbabwe (Noczim) will become the sole buyer of the crop while the Grain Marketing Board (GMB) will be involved in the distribution of the seeds because we want them to be distributed widely,"" said the minister.
He said although the country had conducted some useful research on jatropha, a team of agronomists and researchers would be sent to India, Mozambique and the Democratic Rep-ublic of Congo for further explore the optimum capacity of the plant.
Dr Made said India had developed several high-yielding varieties and an efficient crop husbandry system which Zimbabwe wanted to study for possible implementation.
He said his ministry would begin vigorously promoting the crop next year, adding that they were already making budgetary considerations for the campaign.
""We want every farming household to be involved in the production of the crop. We want all agricultural institutions to be involved in the promotion of the plant while schools will also be involved in its production.
""Extension workers have been asked to talk about jatropha at all agricultural functions they organise and where they are invited, in addition to the subject they would be tackling,"" he said.
Jatropha is a shrub-like tree which grows naturally in all regions of the country.
It, however, thrives more in areas with low rainfall and poor soils, which cannot sustain many ordinary crops.
The seed have between 30 and 40 percent oil content, which has great potential in bio-diesel production.
Jatropha can be grown from seed or cuttings and will start producing seeds after two to three years.
Cassava, which has also been targeted for development, is rich in starch and ethanol. It is a high-energy plant, which is suitable for both human and animal consumption."
cassava;plantain,Mini Agric Show Revives Buea Potentials,https://allafrica.com/stories/200512200306.html,Cameroon: Mini Agric Show Revives Buea Potentials,20 December 2005,Cameroon Tribune (Yaoundé),N/A,N/A,"- A mini Agric Show co-sponsored by the Ministries of Agriculture and Women Empowerment pulled crowds in the Great Soppo neighbourhoods of Buea, October 17.
Daouda, representing the Governor, chaired the occasion which marked this year's World Rural Women's Day and the World Food Day. Both Provincial delegates, Francis Leku (Agric) and Dr Mrs Niger for women empowerment, underscored the reason for the joint celebration as focusing on the rural woman as a principal producer of food.
Mrs Niger urged the custodians of culture to move with time lifting the hurdles which had so far disfavoured the woman. Such include the customary laws that compel the woman to use land but never to own it. The mini shows exposed the food production and animal rearing prowess of the women and men. Cassava, cocoyams, plantains, pigs and goats among many were in abundance. The organizers offered wheelbarrows, cutlasses, hoes and water-spray cans to encourage the farmers.
The show was animated by choir groups from various cultural settings. When the show turned into a market to end the day, the two organising Ministries certainly took stock of the potentials of the rural woman."
cassava,Agriculture Ministry Increases Sharing in GDP,https://allafrica.com/stories/200512200751.html,Angola: Agriculture Ministry Increases Sharing in GDP,19 December 2005,Angola Press Agency (Luanda),N/A,N/A,"Luanda — The Ministry of Agriculture and Rural Development has increased in 2005 its sharing from eight to 12 percent in the Gross Domestic Product (GDP) comparing to the previous year, in the sectors of agriculture, cattle breeding and fisheries, the incumbent minister Gilberto Lutucuta said on Monday in Luanda.
Mr Lutucuta, who was speaking on the sidelines of the 29th Broad Consultative Council of the Ministry of Agriculture and Rural Development, taking place in Luanda, said that 80 percent of the activities carried out this year by his ministry yielded ""a good result"", which will enable to achieve the foreseen goal of 26 percent, of its contribution to GDP.
The minister guaranteed that, from next year the country will stop importing cereals such as maize, whose production has grown from 600 to 800,000 tons per year, while the production of cassava flour generated surplus and fruit-growing, which will guarantee a self-sufficiency in consumption throughout the country."
cassava;sorghum,"One Small Meal a Day, Or None At All",https://allafrica.com/stories/200512190924.html,"Kenya: One Small Meal a Day, Or None At All",19 December 2005,The Nation (Nairobi),N/A,N/A,"Nairobi — Beatrice Kalunda can hardly complete three sentences without uttering the word ""El Nino"". It is easy to understand why. The last time she and her family had complete meals for a season was during the abundant El Nino rains. That was seven years ago, when she last harvested from her seven acre farm.
""You see that big granary over there? It overflowed with food,"" she reminisces as she points at a collapsing wooden store.
Her expression dims as she refers to a much smaller storage bin nearby. ""After that, we built that granary to cater for subsequent seasons, which we expected to get back to normal. Unfortunately, no food has ever seen the inside of it.""
The empty store shakes and squeaks in response to the wind blowing past. It, too, may crumble any time. The 54-year-old woman does not seem to worry much about this. She can tell that it will not be useful this season either. The maize seedlings on her dry shamba, barely 15cm high, are beginning to wilt.
Kalunda is a resident of Mutikati Village in Kathonzweni division, one of the places hardest hit by chronic absence of food in Makueni district. The district is listed among the 17 that are experiencing extended periods of food unavailability.
About 31 per cent of the people in the entire district lack enough food to eat. More than 78 per cent of the affected six divisions in the area need emergency food aid.
Most households here have experienced failed crops for successive years because of worsening weather. Rains come for two to three days, prompting people to plant, and then abruptly stop. This combines with poor agricultural practices to render the already impoverished households incapable of getting enough food to eat.
The starving divisions of Makueni are generally semi-arid. They are suitable for producing hardy crops like cassava, millet and sorghum. But the majority of farmers are not willing to change their agricultural practices to go with the present weather development. They plant maize and ignore the drought-resistant crops.
""It is difficult to convince these farmers not to grow maize,"" says District Agriculture Officer, John Kibe. A drive around parts of Kathonzweni division reveal great disparities between farmers producing crops other than maize.
""The last time we had a harvest here was during El Nino,"" she says, praising the weather phenomenon that otherwise caused disaster in other parts of the country in 1997 and 1998.
She is aware of the havoc El Nino brought along, but to her, the food harvest that came out of the season outweighs the problems it caused. Says she: ""Even though El Nino came along with both human and animal (water-borne) disease, it brought us a lot of food. There was so much to eat that some of the food rotted in the granary. When I reflect now, it appears as if we were being blessed with a once-and-for-all good harvest to last us a lifetime.""
And she has good reason to think along those lines. ""Since then, we plant crops, which germinate, but only grow for about one-and-a-half to two months. Thereafter, they simply wither and allow the wind to blow them off the ground,"" she says. This event has repeated itself every season.
Once that happens, Kalunda and her neighbours pick up the drying diminutive maize stalks and feed them to the animals. With a slight beam, she remarks: ""At least the cows get something to eat.""
After that, the villagers spend another year staring at empty farms and glancing at the skies in anticipation of rain. They are an admiringly optimistic lot. They keep hoping that the following season would be good, and quickly till their lands at the slightest signs of rain.
However, signs of tire are beginning to emerge. Kalunda, for example, is already musing over relocating. ""From the look of things, I may have to go to Mavindini, where my husband lives with my elder co-wife,"" she says, and reveals: ""I go there once in a while to solicit for food when I am stuck. We might as well just follow the father of my children to live there.""
Mavindini is a neighbouring division, to which Kalunda's husband went to when the situation in Kathonzweni became too much to bear. It is not as badly affected by hunger. That is the scenario in Makueni district. One village can completely lack food, while the next shows no sign of food scarcity.
In Mutikati village, where Kalunda lives, many young men have abandoned their homes in search of alternative sources of food and income.
Our guide, Martin Kamwanza, a data analyst with the Arid Lands Resource Management Project (ALRMP) in Makueni, reveals that many also are desperate teenage girls from this region, who now prostitute in some of the trading centres along Mombasa Road, such as the fast growing Mlolongo.
They have had enough of one small meal a day, the norm among famished population in Kathonzweni. ""I would not be surprised if I were to establish that most of those girls at Mlolongo are from Kathonzweni,"" says Kamwanza.
Once in a while, when Kalunda feels she needs a change of diet, she walks to a village some three hours away to solicit cowpea leaves (kunde) from better-off farms ""across the valley"". Nothing else, other than the boiled maize, salted water and Kunde, features in their daily meal.
Her menu typifies that of villagers in the greater southern part of the district, starting from Kathonzweni division in the central part, to the lower divisions of the district, such as Makindu, Kibwezi and Mtito Andei. These are the areas most affected by the menacing food insecurity. The northern parts are generally unaffected.
Lately though, sections of the north-western regions of the district are beginning to exhibit signs of food stress, according to Daniel Mbuvi, the district drought management officer. ""While doing my rounds, I recently noticed that there is a strip cutting across Kilome area and heading towards the north, that is increasingly getting affected,"" he says."
